SCHOOLCODE,SCHOOLNAME,LON,LAT,LEVELTEXT,LEVEL,CLUSTER,WARD,FORTYFORTY,YEAR,ATRISKPCT,ATRISKENROLLMENT,ECEENROLLMENT,ELLENROLLMENT,SPEDENROLLMENT,TOTALENROLLMENT,AMT_ENROLLMENT,AMT_SPED,AMT_ELL,AMT_ASPECR,AMT_TITLE,AMT_SPECIALTY,AMT_PPFM,AMT_STABILIZATION,AMT_ATRISK_ENROLLMENT,AMT_ATRISK_SPED,AMT_ATRISK_ELL,AMT_ATRISK_SPECIALTY,AMT_ATRISK_ASPECR,AMT_ATRISK_STABILIZATION,AMT_ATRISK_FLEX,AMT_ATRISK,AMT_TOTAL
213,Brightwood EC,-77.03068885,38.96053539,Education Campus,campus,6,4,FALSE,2016,0.47,315,87,408,66,670,5130642.38,697800,2117379.812,97586.9965,277413.6602,0,0,0,494485.4,93040,0,0,0,0,0,587525.4,8908348.249
404,Browne EC,-76.97066706,38.90259855,Education Campus,campus,6,5,TRUE,2016,0.68,228,71,24,55,336,3654648.087,886759.2489,93040,46497.9585,152967.3261,0,0,14717.37672,445246,0,0,0,0,0,0,445246,5293875.997
296,Bruce-Monroe ES @ Park View,-77.02118567,38.93441376,Elementary,es,3,1,FALSE,2016,0.51,244,100,303,52,478,4092908.606,604760,1581680,97586.9965,201612.02,0,0,0,276540.9279,139560,0,0,0,0,0,416100.9279,6994648.55
221,Burrville ES,-76.92445918,38.90056543,Elementary,es,4,7,FALSE,2016,0.68,257,99,2,27,378,3169175.078,372160,8460.286262,0,156033.4329,0,0,0,264817,0,0,0,0,0,162567.3279,427384.3279,4133213.125
247,C.W. Harris ES,-76.9261155,38.8835985,Elementary,es,4,7,TRUE,2016,0.79,244,56,2,70,309,2662208.386,1111666.709,8460.286262,0,126223.3951,0,0,0,419440,0,0,0,0,0,0,419440,4327998.777
360,Capitol Hill Montessori,-77.0025627,38.89852997,Education Campus,campus,2,6,FALSE,2016,0.08,27,126,3,10,339,3157545.7,186080,12694.21739,0,7750,0,0,0,63900,0,0,0,0,0,0,63900,3427969.918
454,Cardozo EC,-77.02847079,38.9221722,Education Campus,campus,8,1,TRUE,2016,0.73,616,0,334,198,844,6382674.95,2949432.104,1722679.624,1592,338785.7967,0,0,0,1105637.6,0,0,0,46960,0,0,1152597.6,12547762.08
947,CHOICE Academy,-77.00677595,38.91350276,Alternative,other,7,5,FALSE,2016,NA,NA,0,0,10,9,813744.5555,186080,0,0,125,0,0,0,0,0,0,0,0,0,0,0,999949.5555
224,Cleveland ES,-77.02270718,38.91514495,Elementary,es,3,1,FALSE,2016,0.44,139,81,50,31,317,2878822.957,279120,186080,59270.218,133669.6546,0,0,0,210779.5279,0,0,0,0,0,0,210779.5279,3747742.358
442,Columbia Heights EC (CHEC),-77.03585831,38.92954443,Education Campus,campus,9,1,FALSE,2016,0.54,757,0,471,150,1401,8414222.003,1813312.979,2420479.624,0,522784.0384,199581,0,0,1201534.6,0,0,160419,52598,0,0,1414551.6,14784931.24
455,Coolidge HS,-77.01957825,38.96728422,High,hs,9,4,TRUE,2016,0.76,305,0,59,115,401,3467626.608,2018559.5,279120,0,171363.967,0,0,0,528354.4,0,0,0,40460,0,0,568814.4,6505484.475
405,Deal MS,-77.07519907,38.95289641,Middle,ms,7,3,FALSE,2016,0.08,107,0,44,108,1332,7962508.117,1302560,186080,0,32800,0,2127585.283,0,198336.6,0,0,0,0,0,0,198336.6,11809870
231,Drew ES,-76.91992701,38.89599364,Elementary,es,2,7,TRUE,2016,0.83,183,52,0,29,220,2186844.723,559679.6245,0,59270.218,87215.03692,0,0,0,364206,0,0,0,0,0,0,364206,3257215.603
467,Dunbar HS,-77.01469386,38.90852322,High,hs,9,5,TRUE,2016,0.74,508,0,5,196,686,5106735.514,2369146.333,21178.07343,0,283132.8586,0,0,0,892003.7,0,0,0,56644,0,0,948647.7,8728840.48
457,Eastern HS,-76.97968429,38.89040233,High,hs,9,6,FALSE,2016,0.7,749,0,5,283,1070,6411261.755,3144171.665,21159.13343,0,444835.4898,0,0,0,1127474.438,46520,0,0,60690,0,166769.4619,1401453.9,11422881.94
232,Eaton ES,-77.06582114,38.93272674,Elementary,es,5,3,FALSE,2016,0.05,24,36,43,31,477,3494419.981,418680,186080,0,11875,0,135425.0189,0,49395,0,0,0,0,0,0,49395,4295875
471,Ellington School of the Arts,-77.07030757,38.91344604,Art,hs,8,2,FALSE,2016,0.33,174,0,0,24,527,3589148.71,418680,0,0,13075,1874308.643,0,0,17300,0,0,306400.3,0,0,0,323700.3,6218912.653
407,Eliot-Hine MS,-76.97897792,38.89243116,Middle,ms,7,6,TRUE,2016,0.63,151,0,2,62,239,2419243.199,1070432.603,8459.865373,0,111330.8763,0,0,45440.77201,234145,46520,0,0,0,0,0,280665,3935572.316
238,Garfield ES,-76.97080478,38.85173304,Elementary,es,1,8,TRUE,2016,0.82,244,55,1,38,297,2481496.065,654159.2489,0,0,123157.2883,0,0,0,290020.5,46520,0,0,0,0,118136.8,454677.3,3713489.902
239,Garrison ES,-77.02861256,38.91390096,Elementary,es,3,2,FALSE,2016,0.48,125,98,38,54,260,2478174.771,982678.4979,186080,59270.218,106049.6931,0,0,557.0553376,145740,46520,0,0,0,0,0,192260,4005070.236
227,H.D. Cooke ES,-77.03881058,38.92394275,Elementary,es,1,1,TRUE,2016,0.54,213,87,171,45,395,3555835.388,624893.5422,744320,97586.9965,173554.0433,0,0,0,255217.9279,0,93040,0,0,0,0,348257.9279,5544447.898
246,Hardy MS,-77.0686139,38.9155087,Middle,ms,7,2,FALSE,2016,0.25,95,0,22,65,380,3173662.908,793719.2489,93040,0,74080.3807,0,0,127742.9782,177754.5,0,0,0,0,0,0,177754.5,4440000.015
413,Hart MS,-76.99717875,38.83773754,Middle,ms,7,8,TRUE,2016,0.82,353,0,0,123,431,3409449.801,1630112.228,0,0,207744.2337,0,0,914503.5647,567458.3,93040,0,0,0,0,0,660498.3,6822308.127
258,Hearst ES,-77.07195522,38.94072231,Elementary,es,4,3,FALSE,2016,0.13,39,42,28,37,300,2672323.096,748638.8734,139560,0,7275,0,0,0,4875,93040,0,0,0,0,0,97915,3665711.969
249,Hendley ES,-76.99918485,38.82898558,Elementary,es,1,8,FALSE,2016,0.9,459,59,0,59,510,4028022.051,465200,0,0,218256.5999,0,0,0,652176,93040,0,0,0,0,60130.52791,805346.5279,5516825.179
251,Houston ES,-76.92994765,38.90541499,Elementary,es,2,7,FALSE,2016,0.75,218,59,1,48,291,2328350.175,841678.8734,0,0,120967.212,0,0,0,237371.5,46520,0,0,0,0,70519.92791,354411.4279,3645407.688
252,Hyde-Addison ES,-77.06453782,38.90801923,Elementary,es,5,2,FALSE,2016,0.08,26,35,25,19,322,2880456.415,325640,93040,0,7625,0,0,138940.3044,3125,0,0,0,0,0,0,3125,3448826.72
950,Incarcerated Youth Program,-76.97637892,38.88343057,Alternative,other,8,7,FALSE,2016,NA,NA,0,3,20,24,938580.4446,465200,12689.16673,8092,700,0,0,0,0,0,0,0,0,0,0,0,1425261.611
339,J.O. Wilson ES,-76.99658902,38.90275767,Elementary,es,3,6,FALSE,2016,0.5,247,115,6,62,493,4166642.49,769739.4367,25414.95078,186992.813,202050.0353,0,0,0,372374.5,0,0,0,0,0,34427.72791,406802.2279,5757641.953
254,Janney ES,-77.08099483,38.94755009,Elementary,es,5,3,FALSE,2016,0.01,7,80,27,46,730,5001072.137,651280,93040,0,17325,0,795060.1629,0,13097.7,0,0,0,0,0,0,13097.7,6570875
433,Jefferson MS,-77.02291066,38.8798706,Middle,ms,7,6,FALSE,2016,0.65,183,0,3,61,282,2534925.234,816259.4367,12694.84873,0,120091.1815,105215,0,451516.7283,342411.3,0,0,0,0,0,0,342411.3,4383113.729
416,Johnson MS,-76.98370368,38.85133657,Middle,ms,7,8,TRUE,2016,0.79,236,0,2,79,299,2622864.862,1207113.354,8459.865373,0,126223.3951,15000,0,0,445326,0,0,0,0,0,0,445326,4424987.477
421,Kelly Miller MS,-76.93245507,38.89331503,Middle,ms,7,7,TRUE,2016,0.7,396,0,6,126,565,3957297.055,1489112.603,25394.74812,0,237091.2562,0,0,0,739084.5,0,0,0,0,0,0,739084.5,6447980.163
257,Ketcham ES,-76.98362116,38.86604236,Elementary,es,3,8,TRUE,2016,0.86,275,70,0,35,320,2659124.327,465200,0,0,134107.6698,0,0,0,374275,0,0,0,0,0,86789.12791,461064.1279,3719496.125
272,Key ES,-77.10052732,38.9268015,Elementary,es,2,3,FALSE,2016,0.03,12,30,27,21,395,3039431.334,372160,93040,0,9575,0,0,74386.92775,1375,46520,0,0,0,0,0,47895,3636488.261
259,Kimball ES,-76.95757271,38.88308276,Elementary,es,3,7,TRUE,2016,0.77,271,70,0,46,352,2988171.308,418680,0,0,151190.265,0,0,0,319509.1279,139560,0,0,0,0,0,459069.1279,4017110.701
344,"King, M.L. ES",-76.99823899,38.84244285,Elementary,es,1,8,TRUE,2016,0.88,341,71,2,35,388,3338504.325,465200,8459.023596,0,161289.616,0,0,0,498189.0279,93040,0,0,0,0,0,591229.0279,4564681.992
417,Kramer MS,-76.98017131,38.87128607,Middle,ms,7,8,TRUE,2016,0.8,254,0,0,76,318,2697870.51,1090093.542,0,0,144620.0361,0,0,59618.45943,475259.4,0,0,0,0,0,0,475259.4,4467461.948
261,Lafayette ES,-77.06803712,38.96662722,Elementary,es,4,4,FALSE,2016,0.03,21,80,22,37,693,5132850.602,418680,93040,0,17425,0,621524.3979,0,49020,0,0,0,0,0,0,49020,6332540
370,Langley ES,-77.00589039,38.91516256,Elementary,es,4,5,FALSE,2016,0.64,198,68,6,62,310,2634597.051,1302065.582,25422.52678,0,125347.3646,0,0,0,133215,0,0,0,0,0,183774.4279,316989.4279,4404421.953
264,LaSalle-Backus EC,-76.99988254,38.95997181,Education Campus,campus,6,4,TRUE,2016,0.52,183,52,107,63,352,3343690.108,1134206.897,558240,72042.4775,151628.2803,0,0,0,342411.3,0,0,0,0,0,0,342411.3,5602219.062
266,Leckie ES,-77.01289191,38.82819645,Elementary,es,2,8,FALSE,2016,0.47,223,101,11,58,474,3805134.733,511720,46543.56977,110359.256,207306.2184,0,0,0,326950,93040,0,0,0,0,0,419990,5101053.777
271,Ludlow-Taylor ES,-76.99649249,38.89874381,Elementary,es,1,6,FALSE,2016,0.32,112,95,3,53,351,3027112.597,982678.4979,12698.00539,135905.5155,147686.1429,0,0,0,159761.5,0,0,0,0,0,0,159761.5,4465842.258
884,Luke Moore HS,-76.99231633,38.93227605,Alternative,other,9,5,TRUE,2016,NA,NA,0,5,27,362,2826949.212,511720,21155.97677,80920,152066.2955,0,0,23237.07117,0,0,0,0,0,0,0,0,3616048.555
