school,lineitem,fte,budget
333,24,2,237334
333,28,1,62752
333,33,1,43567
333,44,1,57444
333,45,na,8000
333,46,na,15000
333,47,1,35715
333,48,2,89752
333,54,na,20000
333,55,na,10000
333,59,na,36600
333,63,na,500
333,64,2,189252
333,66,na,13247.64
333,67,1,94626
333,70,na,10000
333,74,na,13400
333,78,na,21818
333,79,na,52300
333,80,1,94626
333,81,1,39448
333,82,2,189252
333,84,1,94626
333,87,na,1000
333,90,4,378504
333,91,5,473130
333,92,4,378504
333,93,6,567756
333,94,4,378504
333,96,1,94626
333,106,1,94626
333,107,3,283878
333,112,1,94626
333,131,1,94626
335,1,na,15000
335,2,1,46722
335,5,na,78347.18
335,9,7,214767
335,13,3,92043
335,24,1,118667
335,28,1,62752
335,30,na,5000
335,31,na,25000
335,33,1,43567
335,34,1,46031
335,44,1,57444
335,45,na,10000
335,46,na,10000
335,47,1,35715
335,48,2,89752
335,52,na,10000
335,53,na,10000
335,54,na,30350
335,55,na,36773
335,57,na,2500
335,58,na,10000
335,60,1,94626
335,63,na,1000
335,64,1.5,141939
335,66,na,13247.64
335,67,1,94626
335,68,na,3000
335,70,na,4000
335,71,na,100000
335,72,na,12957
335,73,na,28000
335,74,na,12000
335,76,1,147768
335,78,na,6050
335,79,na,43500
335,80,1,94626
335,82,2,189252
335,84,1,94626
335,90,2,189252
335,91,2,189252
335,92,2,189252
335,93,2,189252
335,94,2,189252
335,96,1,94626
335,104,2,189252
335,106,1,94626
335,107,7,662382
335,109,3,283878
335,110,2,189252
335,112,0.5,47313
335,115,1,94626
335,116,1,94626
335,117,2,189252
335,123,1,94626
335,128,1,94626
335,130,2,189252
335,131,0.5,47313
335,133,na,500
335,134,na,7000
336,1,na,3500
336,2,2,93444
336,5,na,50535.47
336,9,6,184086
336,24,1,118667
336,31,na,55000
336,44,1,57444
336,45,na,1500
336,46,na,13000
336,47,1,35715
336,48,1,44876
336,54,na,7500
336,55,na,20011
336,59,na,7500
336,60,1,94626
336,64,1,94626
336,67,0.5,47313
336,71,na,100000
336,72,na,5000
336,73,na,18000
336,74,na,5000
336,76,1,147768
336,78,na,3000
336,79,na,27300
336,80,0.5,47313
336,82,1,94626
336,90,1,94626
336,91,1,94626
336,92,1,94626
336,93,1,94626
336,94,1,94626
336,95,1,94626
336,96,1,94626
336,104,1,94626
336,105,1,94626
336,106,1,94626
336,107,3,283878
336,109,2,189252
336,110,1,94626
336,115,2,189252
336,116,2,189252
336,120,1,94626
336,123,1,94626
336,128,1,94626
336,131,1,94626
338,1,na,4000
338,2,1,46722
338,5,na,50535.47
338,6,1,30681
338,7,4,122724
338,9,5,153405
338,10,2,61362
338,11,1,30681
338,15,4,122724
338,25,1,118667
338,27,2,78018
338,28,1,62752
338,31,na,10000
338,34,1,46031
338,38,1,90918
338,44,1,57444
338,45,na,4000
338,46,na,6000
338,48,3,134628
338,52,na,17000
338,54,na,8000
338,55,na,43134
338,59,na,14960
338,60,1,94626
338,63,na,500
338,64,1,94626
338,67,1,94626
338,70,na,1500
338,71,na,100000
338,72,na,5000
338,73,na,28000
338,74,na,2000
338,76,1,147768
338,78,na,6000
338,79,na,34800
338,80,0.5,47313
338,82,1,94626
338,90,2,189252
338,91,2,189252
338,92,2,189252
338,93,2,189252
338,94,1,94626
338,96,1,94626
338,97,1,94626
338,100,2,189252
338,102,1,94626
338,103,1,94626
338,104,1,94626
338,105,2,189252
338,106,2,189252
338,107,3,283878
338,108,2,189252
338,109,2,189252
338,110,1,94626
338,112,1,94626
338,115,1,94626
338,116,1,94626
338,117,1,94626
338,123,1,94626
338,128,1,94626
338,131,1,94626
339,1,na,28000
339,5,na,119677.85
339,9,10,306810
339,11,1,30681
339,13,4,122724
339,15,2,61362
339,24,1,118667
339,28,1,62752
339,29,1,36519
339,30,na,500
339,31,na,49000
339,44,1,57444
339,45,na,20000
339,46,na,25000
339,47,2,71430
339,48,1,44876
339,49,1,89373
339,54,na,29583
339,55,na,10452
339,58,na,5000
339,63,na,300
339,64,1,94626
339,66,na,25549.02
339,67,1,94626
339,68,na,1000
339,74,na,5000
339,75,na,2000
339,76,1,147768
339,78,na,7000
339,79,na,46200
339,80,0.5,47313
339,82,1,94626
339,84,1,94626
339,90,3,283878
339,91,3,283878
339,92,3,283878
339,93,3,283878
339,94,1,94626
339,96,1,94626
339,103,1,94626
339,106,1.5,141939
339,107,3,283878
339,108,2,189252
339,109,3,283878
339,112,1,94626
339,115,3,283878
339,116,3,283878
339,119,1,94626
339,131,1,94626
339,132,0.5,47313
339,134,na,6500
344,1,na,5000
344,2,1,46722
344,5,na,64441.32
344,9,8,245448
344,26,1,118667
344,28,1,62752
344,31,na,100000
344,40,1,90918
344,44,1,57444
344,45,na,18000
344,46,na,24000
344,47,2,71430
344,48,1,44876
344,54,na,25706
344,57,na,1500
344,58,na,1000
344,60,1,94626
344,64,1,94626
344,67,1,94626
344,68,na,1000
344,70,na,1500
344,71,na,100000
344,76,1,147768
344,78,na,10000
344,79,na,41200
344,80,1,94626
344,82,1,94626
344,84,1,94626
344,90,3,283878
344,91,3,283878
344,92,2,189252
344,93,3,283878
344,94,2,189252
344,96,1,94626
344,106,1.5,141939
344,107,4,378504
344,109,3,283878
344,112,1,94626
344,115,3,283878
344,116,2,189252
344,131,1,94626
344,132,1,94626
344,137,1,36042
346,1,na,3500
346,2,1,46722
346,5,na,36629.61
346,9,3,92043
346,13,2,61362
346,16,1,36703
346,31,na,7000
346,44,1,57444
346,45,na,5000
346,46,na,6000
346,47,2,71430
346,48,1,44876
346,49,1,89373
346,52,na,10627
346,54,na,0
346,60,1,94626
346,63,na,500
346,64,2,189252
346,67,0.5,47313
346,71,na,100000
346,72,na,5000
346,73,na,28000
346,76,1,147768
346,78,na,4700
346,79,na,23200
346,80,0.5,47313
346,82,1,94626
346,84,1,94626
346,87,na,1467
346,90,1,94626
346,91,1,94626
346,92,1,94626
346,93,1,94626
346,94,1,94626
346,96,1,94626
346,104,1,94626
346,105,1,94626
346,106,1,94626
346,107,3,283878
346,109,1,94626
346,110,1,94626
346,112,0.5,47313
346,115,1,94626
346,116,1,94626
346,123,1,94626
346,128,1,94626
346,131,1,94626
346,134,na,3000
360,1,na,12000
360,2,1,46722
360,9,9,276129
360,24,1,118667
360,28,1,62752
360,29,1,36519
360,30,na,10000
360,42,1,50010
360,44,1,57444
360,45,na,15000
360,46,na,45000
360,47,1,35715
360,48,1,44876
360,53,na,5000
360,54,na,97264
360,55,na,20000
360,58,na,30000
360,60,1,94626
360,63,na,3300
360,66,na,17032.68
360,67,1,94626
360,68,na,2677
360,71,na,100000
360,72,na,5000
360,73,na,28000
360,74,na,38000
360,76,1,147768
360,78,na,10000
360,79,na,33000
360,80,0.5,47313
360,82,1,94626
360,90,1,94626
360,91,1,94626
360,92,1,94626
360,93,1,94626
360,94,1,94626
360,96,0.5,47313
360,104,1,94626
360,106,1,94626
360,107,1,94626
360,109,1,94626
360,110,1,94626
360,112,0.5,47313
360,117,8,757008
360,131,1,94626
370,1,na,12000
370,5,na,50535.47
370,6,2,61362
370,7,2,61362
370,9,6,184086
370,10,2,61362
370,11,1,30681
370,15,1,30681
370,27,2,78018
370,28,1,62752
370,29,1,36519
370,30,na,2000
370,38,1,90918
370,44,1,57444
370,45,na,7500
370,46,na,9000
370,47,1,35715
370,48,1,44876
370,49,1,89373
370,52,na,2488
370,53,na,1000
370,54,na,9000
370,55,na,10000
370,57,na,1000
370,59,na,1000
370,63,na,1000
370,64,1,94626
370,66,na,37850.4
370,68,na,2000
370,70,na,1000
370,74,na,5678
370,76,1,147768
370,77,na,2000
370,78,na,8000
370,79,na,29100
370,80,0.5,47313
370,82,1.5,141939
370,84,1,94626
370,90,2,189252
370,91,2,189252
370,92,1,94626
370,93,1,94626
370,94,2,189252
370,96,1,94626
370,97,2,189252
370,100,1,94626
370,102,1,94626
370,103,1,94626
370,106,1,94626
370,107,2,189252
370,108,1,94626
370,109,2,189252
370,112,1,94626
370,115,2,189252
370,116,2,189252
370,130,1.5,141939
370,131,0.5,47313
402,1,na,2000
402,2,1,46722
402,4,na,2052
402,5,na,53695.88
402,15,1,30681
402,24,2,237334
402,28,1,62752
402,29,2,73038
402,31,na,6000
402,33,1,43567
402,35,1,90918
402,44,2,114888
402,45,na,7000
402,46,na,20000
402,48,2,89752
402,52,na,3000
402,53,na,1000
402,54,na,19652
402,55,na,1552
402,57,na,1500
402,58,na,3000
402,62,3,295233
402,63,na,200
402,66,na,21763.98
402,67,1,94626
402,68,na,500
402,74,na,7000
402,76,1,147768
402,79,na,44500
402,80,1,94626
402,96,1,94626
402,101,1,94626
402,104,5,473130
402,106,1,94626
402,108,1,94626
402,110,5,473130
402,112,1,94626
402,121,2,189252
402,122,1,94626
402,124,1,94626
402,128,4,378504
402,131,4,378504
402,134,na,1500
402,136,na,34952.4
404,1,na,0
404,2,1,46722
404,3,1,74398
404,4,na,4000
404,5,na,50535.47
404,7,2,61362
404,9,6,184086
404,10,2,61362
404,16,1,36703
404,24,1,118667
404,26,1,118667
404,29,1,36519
404,31,na,6615
404,34,1,46031
404,35,2,181836
404,44,1,57444
404,45,na,0
404,46,na,11500
404,47,1,35715
404,48,2,89752
404,52,na,9105
404,54,na,20000
404,55,na,2000
404,58,na,5000
404,60,1,94626
404,63,na,1000
404,64,2,189252
404,67,1,94626
404,70,na,3000
404,71,na,100000
404,72,na,5000
404,73,na,28000
404,74,na,5000
404,76,1,147768
404,77,na,4000
404,78,na,5000
404,79,na,34800
404,80,1,94626
404,82,1.5,141939
404,84,1,94626
404,90,1,94626
404,91,2,189252
404,92,2,189252
404,93,2,189252
404,94,2,189252
404,96,1,94626
404,100,1,94626
404,102,1,94626
404,104,2,189252
404,105,1,94626
404,106,1,94626
404,107,4,378504
404,109,2,189252
404,110,2,189252
404,112,0.5,47313
404,115,2,189252
404,116,2,189252
404,119,1,94626
404,123,1,94626
404,128,1,94626
404,131,1,94626
405,1,na,55374
405,2,1,46722
405,13,3,92043
405,16,1,36703
405,24,5,593335
405,28,2,125504
405,31,na,80000
405,34,1,46031
405,35,1,90918
405,42,1,50010
405,44,1,57444
405,45,na,12000
405,46,na,40000
405,47,3,107145
405,48,3,134628
405,54,na,45000
405,55,na,191383
405,60,3,283878
405,64,1,94626
405,67,2,189252
405,68,na,10000
405,71,na,100000
405,72,na,5000
405,73,na,28000
405,74,na,23000
405,76,1,147768
405,78,na,22000
405,79,na,131000
405,80,2,189252
405,81,1,39448
405,82,3,283878
405,96,3,283878
405,104,12,1135512
405,105,2,189252
405,106,5,473130
405,107,13,1230138
405,110,14,1324764
405,112,3,283878
405,118,2,189252
405,123,12,1135512
405,125,1,94626
405,128,12,1135512
405,131,13,1230138
405,132,1,94626
407,1,na,6000
407,2,1,46722
407,3,1,74398
407,7,4,122724
407,15,1,30681
407,24,1,118667
407,25,1,118667
407,27,2,78018
407,34,1,46031
407,35,1,90918
407,42,1,50010
407,44,1,57444
407,45,na,5000
407,46,na,12000
407,47,1,35715
407,48,2,89752
407,52,na,5500
407,53,na,16200
407,54,na,6000
407,55,na,3161
407,63,na,400
407,64,0.5,47313
407,66,na,4731.3
407,67,0.5,47313
407,68,na,3190
407,71,na,100000
407,72,na,5000
407,73,na,10000
407,74,na,10044
407,76,1,147768
407,78,na,26000
407,79,na,27500
407,80,1,94626
407,82,2,189252
407,87,na,2000
407,95,2,189252
407,96,1,94626
407,100,2,189252
407,101,1,94626
407,104,2,189252
407,106,2,189252
407,107,4,378504
407,108,1,94626
407,110,2,189252
407,112,1,94626
407,118,1,94626
407,123,2,189252
407,128,1,94626
407,130,1,94626
407,131,2.5,236565
407,133,na,1000
413,1,na,7500
413,2,2,93444
413,5,na,64441.32
413,6,1,30681
413,7,4,122724
413,14,1,30681
413,15,3,92043
413,16,1,36703
413,21,2,61362
413,24,2,237334
413,25,1,118667
413,26,1,118667
413,27,3,117027
413,28,1,62752
413,31,na,33300
413,34,1,46031
413,40,1,90918
413,42,1,50010
413,44,1,57444
413,45,na,0
413,46,na,19000
413,47,2,71430
413,48,3,134628
413,54,na,26802
413,55,na,15000
413,58,na,1500
413,60,2,189252
413,64,1,94626
413,67,1,94626
413,68,na,3500
413,71,na,100000
413,72,na,5000
413,73,na,28000
413,74,na,2872
413,76,1,147768
413,79,na,57400
413,80,1,94626
413,82,4,378504
413,84,1,94626
413,88,1,78751
413,95,6,567756
413,96,1,94626
413,97,1,94626
413,100,2,189252
413,101,1,94626
413,104,4,378504
413,106,2,189252
413,107,7,662382
413,108,2,189252
413,110,7,662382
413,112,1,94626
413,123,4,378504
413,128,2,189252
413,129,2,189252
413,131,1,94626
416,1,na,5000
416,2,1,46722
416,3,1,74398
416,6,1,30681
416,15,1,30681
416,24,1,118667
416,25,1,118667
416,27,1,39009
416,28,0.5,31376
416,34,1,46031
416,42,1,50010
416,44,1,57444
416,45,na,7500
416,46,na,15000
416,47,1,35715
416,48,2,89752
416,53,na,8000
416,54,na,6806
416,59,na,7292
416,62,1,98411
416,66,na,13247.64
416,67,0.5,47313
416,71,na,100000
416,72,na,5000
416,73,na,28000
416,74,na,500
416,76,1,147768
416,78,na,3000
416,79,na,28300
416,80,1,94626
416,82,1.5,141939
416,84,1,94626
416,86,1,63519
416,95,5,473130
416,96,0.5,47313
416,97,1,94626
416,104,2,189252
416,106,1,94626
416,107,5,473130
416,108,1,94626
416,110,2,189252
416,112,1,94626
416,119,1,94626
416,120,1,94626
416,125,2,189252
416,128,1,94626
416,131,0.5,47313
416,134,na,5000
417,1,na,0
417,2,2,93444
417,3,2,148796
417,4,na,5000
417,6,1,30681
417,14,2,61362
417,24,2,237334
417,25,1,118667
417,27,1,39009
417,31,na,52938
417,34,2,92062
417,44,1,57444
417,45,na,0
417,46,na,0
417,47,1,35715
417,48,3,134628
417,54,na,0
417,59,na,50000
417,60,1,94626
417,67,1,94626
417,71,na,100000
417,72,na,5000
417,73,na,28000
417,75,na,5360
417,76,1,147768
417,79,na,37100
417,80,1,94626
417,82,3,283878
417,87,na,5000
417,96,1,94626
417,97,1,94626
417,104,3,283878
417,106,1,94626
417,107,7,662382
417,110,3,283878
417,112,1,94626
417,118,1,94626
417,119,3,283878
417,123,3,283878
417,128,3,283878
417,131,1,94626
421,1,na,10000
421,2,2,93444
421,5,na,53695.88
421,6,1,30681
421,7,4,122724
421,15,1,30681
421,16,1,36703
421,24,3,356001
421,25,1,118667
421,27,1,39009
421,29,1,36519
421,31,na,124000
421,32,1,90918
421,34,1,46031
421,40,1,90918
421,42,1,50010
421,44,1,57444
421,45,na,4000
421,46,na,30000
421,47,1,35715
421,48,2,89752
421,49,1,89373
421,53,na,9000
421,54,na,30000
421,55,na,20000
421,57,na,5000
421,58,na,8000
421,64,1,94626
421,66,na,21763.98
421,67,1,94626
421,68,na,10749
421,71,na,100000
421,72,na,5000
421,73,na,28000
421,76,1,147768
421,78,na,8000
421,79,na,57000
421,80,1,94626
421,82,3,283878
421,95,6,567756
421,96,2,189252
421,97,1,94626
421,100,2,189252
421,104,4,378504
421,106,1,94626
421,107,5,473130
421,108,1,94626
421,110,4,378504
421,112,1,94626
421,114,1,94626
421,118,1,94626
421,120,1,94626
421,123,4,378504
421,128,4,378504
421,131,1,94626
427,1,na,12000
427,21,2,61362
427,24,1,118667
427,25,1,118667
427,27,3,117027
427,28,0.5,31376
427,31,na,129
427,44,1,57444
427,45,na,4547
427,46,na,10000
427,47,1,35715
427,48,1,44876
427,54,na,4000
427,60,1,94626
427,64,1,94626
427,67,0.5,47313
427,71,na,100000
427,72,na,5000
427,73,na,28000
427,74,na,4000
427,76,1,147768
427,79,na,28600
427,80,1,94626
427,81,1,39448
427,82,1.5,141939
427,95,4,378504
427,96,1,94626
427,101,1,94626
427,104,2,189252
427,106,1,94626
427,107,3,283878
427,110,2,189252
427,112,1,94626
427,114,1,94626
427,120,1,94626
427,123,2,189252
427,128,2,189252
427,129,2,189252
427,131,1,94626
428,1,na,60000
428,2,1,46722
428,13,1,30681
428,15,1,30681
428,24,1,118667
428,25,1,118667
428,27,1,39009
428,31,na,28000
428,33,1,43567
428,44,1,57444
428,45,na,7000
428,46,na,12000
428,47,1,35715
428,48,3,134628
428,49,1,89373
428,54,na,12000
428,55,na,12000
428,59,na,23000
428,60,1,94626
428,63,na,500
428,64,2,189252
428,66,na,13247.64
428,67,1,94626
428,71,na,100000
428,72,na,5000
428,73,na,28000
428,74,na,11000
428,76,1,147768
428,78,na,10000
428,79,na,42400
428,81,1,39448
428,82,1,94626
428,87,na,16981
428,95,2,189252
428,96,1,94626
428,104,3,283878
428,106,3,283878
428,107,5,473130
428,108,1,94626
428,110,2,189252
428,112,1,94626
428,118,1,94626
428,119,2,189252
428,120,1,94626
428,123,2,189252
428,128,3,283878
428,131,1,94626
433,1,na,10000
433,3,1,74398
433,5,na,22336.86
433,21,4,122724
433,22,2,87456
433,24,0.5,59333.5
433,25,1,118667
433,27,1,39009
433,31,na,40000
433,34,1,46031
433,42,1,50010
433,44,1,57444
433,45,na,7500
433,46,na,12000
433,47,1,35715
433,48,2,89752
433,51,1,98825
433,54,na,11270
433,59,na,29995
433,62,1,98411
433,64,1,94626
433,66,na,8516.34
433,67,0.5,47313
433,71,na,100000
433,72,na,5000
433,73,na,18000
433,74,na,15691
433,76,1,147768
433,79,na,30700
433,80,1,94626
433,82,1.5,141939
433,87,na,2500
433,96,1,94626
433,104,5.5,520443
433,106,2,189252
433,107,5,473130
433,110,5,473130
433,112,1,94626
433,118,1,94626
433,123,2,189252
433,129,3,283878
433,130,1.5,141939
433,131,1,94626
442,1,na,5000
442,2,3,140166
442,3,1,74398
442,12,1,30681
442,15,2,61362
442,18,1,30681
442,24,5,593335
442,27,1,39009
442,31,na,9763
442,33,1,43567
442,34,1,46031
442,37,1,43567
442,38,1,90918
442,39,1,69648
442,40,1,90918
442,42,2,100020
442,44,2,114888
442,45,na,25000
442,46,na,20000
442,47,7,250005
442,48,1,44876
442,49,2,178746
442,51,1,98825
442,54,na,51966
442,55,na,5000
442,56,na,52598
442,59,na,5877
442,60,2,189252
442,61,4,393644
442,62,2,196822
442,63,na,1000
442,64,1,94626
442,67,1,94626
442,71,na,100000
442,72,na,5000
442,73,na,28000
442,74,na,30000
442,76,1,147768
442,78,na,5627
442,79,na,127500
442,80,1,94626
442,81,1,39448
442,82,4,378504
442,88,1,78751
442,89,1,94626
442,89,1,94626
442,96,3,283878
442,97,1,94626
442,99,0.5,47313
442,101,1,94626
442,104,14,1324764
442,105,20,1892520
442,106,4,378504
442,107,9,851634
442,108,2,189252
442,110,14,1324764
442,112,4,378504
442,114,1,94626
442,118,2,189252
442,121,1,94626
442,122,2,189252
442,123,2,189252
442,124,1,94626
442,128,6,567756
442,130,1,94626
442,131,2.5,236565
450,1,na,0
450,2,3,140166
450,3,2,148796
450,6,3,92043
450,7,4,122724
450,15,4,122724
450,21,2,61362
450,22,1,43728
450,24,3,356001
450,26,1,118667
450,27,3,117027
450,28,1,62752
450,31,na,110915
450,34,2,92062
450,36,1,118667
450,40,1,90918
450,44,1,57444
450,45,na,0
450,46,na,10000
450,47,3,107145
450,48,3,134628
450,49,2,178746
450,51,1,98825
450,54,na,0
450,55,na,256500
450,56,na,97104
450,59,na,7803
450,62,4,393644
450,66,na,13247.64
450,67,1,94626
450,76,1,147768
450,78,na,25000
450,79,na,77400
450,80,2,189252
450,81,1,39448
450,82,5,473130
450,89,1,94626
450,89,1,94626
450,96,1,94626
450,97,3,283878
450,99,1,94626
450,100,2,189252
450,104,5,473130
450,106,2,189252
450,107,12,1135512
450,108,4,378504
450,110,6,567756
450,112,1,94626
450,121,1,94626
450,122,2,189252
450,123,2,189252
450,128,5,473130
450,129,2,189252
450,130,2,189252
450,131,2,189252
452,1,na,0
452,2,1,46722
452,3,3,223194
452,6,6,184086
452,15,3,92043
452,21,2,61362
452,24,4,474668
452,27,6,234054
452,28,1,62752
452,31,na,5000
452,32,1,90918
452,36,1,118667
452,38,4,363672
452,42,2,100020
452,44,2,114888
452,45,na,15000
452,46,na,84500
452,47,7,250005
452,48,1,44876
452,49,1,89373
452,54,na,45287
452,56,na,80920
452,59,na,50000
452,62,4,393644
452,64,1,94626
452,66,na,8516.34
452,67,1,94626
452,70,na,8500
452,74,na,18994
452,76,1,147768
452,79,na,65500
452,80,2,189252
452,81,2,78896
452,82,5,473130
452,85,1,80128
452,88,2,157502
452,96,2,189252
452,97,6,567756
452,99,2,189252
452,104,8,757008
452,106,3,283878
452,107,10,946260
452,108,3,283878
452,110,7,662382
452,112,1,94626
452,118,1,94626
452,121,4,378504
452,122,1,94626
452,123,1,94626
452,124,1,94626
452,128,5,473130
452,129,2,189252
452,130,2,189252
452,131,3,283878
452,132,1,94626
452,134,na,8000
454,1,na,25000
454,2,3,140166
454,3,2,148796
454,6,3,92043
454,7,6,184086
454,12,1,30681
454,15,4,122724
454,21,2,61362
454,24,2,237334
454,25,1,118667
454,27,4,156036
454,29,1,36519
454,33,1,43567
454,34,4,184124
454,36,1,118667
454,42,1,50010
454,44,2,114888
454,45,na,8000
454,46,na,0
454,47,4,142860
454,48,4,179504
454,54,na,0
454,56,na,25000
454,59,na,10708
454,61,3,295233
454,62,2,196822
454,64,1,94626
454,67,1,94626
454,71,na,100000
454,72,na,5000
454,73,na,28000
454,74,na,30022
454,76,1,147768
454,78,na,4186
454,79,na,71700
454,80,1.5,141939
454,81,1,39448
454,82,5,473130
454,84,1,94626
454,89,1,94626
454,89,1,94626
454,95,1,94626
454,96,1.5,141939
454,97,3,283878
454,98,2,189252
454,99,2,189252
454,100,3,283878
454,104,6,567756
454,105,11,1040886
454,106,2,189252
454,107,10,946260
454,108,4,378504
454,110,7,662382
454,112,0.5,47313
454,118,1,94626
454,121,1,94626
454,122,2,189252
454,123,3,283878
454,128,4,378504
454,129,2,189252
454,130,1,94626
454,131,2,189252
454,136,na,19972.8
455,1,na,20136
455,2,1,46722
455,6,3,92043
455,7,1,30681
455,15,1,30681
455,22,1,43728
455,25,2,237334
455,26,1,118667
455,27,6,234054
455,31,na,4700
455,40,1,90918
455,42,1,50010
455,44,2,114888
455,45,na,7225
455,46,na,14892
455,47,3,107145
455,48,1,44876
455,49,1,89373
455,51,1,98825
455,53,na,15000
455,54,na,28000
455,56,na,40460
455,58,na,3000
455,59,na,5736.5
455,62,1,98411
455,67,1,94626
455,70,na,2000
455,74,na,5197
455,76,1,147768
455,77,na,1000
455,79,na,41000
455,80,1,94626
455,81,1,39448
455,82,3,283878
455,89,2,189252
455,96,1,94626
455,97,3,283878
455,98,1,94626
455,100,1,94626
455,104,4,378504
455,105,2,189252
455,106,1,94626
455,107,5,473130
455,108,2,189252
455,110,4,378504
455,112,1,94626
455,121,1,94626
455,122,1,94626
455,123,1,94626
455,128,3,283878
455,129,1,94626
455,131,1,94626
455,133,na,1500
455,134,na,4000
456,1,na,0
456,2,1,46722
456,3,1,74398
456,4,na,19012
456,24,1,118667
456,28,1,62752
456,33,1,43567
456,37,1,43567
456,38,1,90918
456,42,1,50010
456,44,2,114888
456,45,na,5000
456,46,na,11333
456,47,2,71430
456,49,2,178746
456,54,na,38044
456,55,na,10000
456,59,na,7432
456,62,1,98411
456,64,1,94626
456,74,na,11984
456,76,1,147768
456,79,na,65500
456,81,1,39448
456,82,1,94626
456,99,4,378504
456,104,3.5,331191
456,107,3,283878
456,110,2.5,236565
456,123,1.5,141939
456,128,1.5,141939
456,136,na,396460.08
457,1,na,13708
457,2,1,46722
457,3,1,74398
457,6,1,30681
457,7,6,184086
457,15,2,61362
457,21,2,61362
457,23,1,92000
457,24,4,474668
457,27,3,117027
457,28,1,62752
457,29,3,109557
457,34,1,46031
457,35,1,90918
457,36,1,118667
457,38,2,181836
457,42,1,50010
457,44,1,57444
457,45,na,15028
457,46,na,30000
457,47,5,178575
457,48,2,89752
457,50,1,98825
457,54,na,50000
457,55,na,10840
457,56,na,60690
457,62,4,393644
457,64,1,94626
457,66,na,30280.32
457,67,1,94626
457,74,na,21000
457,76,1,147768
457,79,na,103000
457,80,1,94626
457,81,1,39448
457,82,4,378504
457,89,1,94626
457,89,1,94626
457,96,1,94626
457,97,1,94626
457,100,3,283878
457,104,9,851634
457,106,3,283878
457,107,17,1608642
457,108,2,189252
457,110,8,757008
457,112,1,94626
457,114,1,94626
457,121,3,283878
457,122,2,189252
457,123,1,94626
457,124,2,189252
457,128,8,757008
457,129,2,189252
457,130,1,94626
457,131,4,378504
457,133,na,200
457,137,1,36042
458,1,na,25000
458,2,6,280332
458,4,na,2000
458,6,1,30681
458,15,3,92043
458,24,4,474668
458,27,1,39009
458,28,1,62752
458,29,1,36519
458,31,na,10000
458,34,1,46031
458,38,1,90918
458,42,1,50010
458,44,2,114888
458,45,na,7000
458,46,na,28000
458,47,3,107145
458,48,5,224380
458,49,2,178746
458,53,na,2607
458,54,na,25219
458,55,na,5000
458,57,na,548
458,58,na,2000
458,59,na,10000
458,60,2,189252
458,62,2,196822
458,64,1,94626
458,66,na,21763.98
458,67,1,94626
458,71,na,100000
458,72,na,5000
458,73,na,28000
458,74,na,30627
458,76,1,147768
458,77,na,6000
458,78,na,25000
458,79,na,91000
458,80,1.5,141939
458,81,1,39448
458,82,3,283878
458,89,2,189252
458,96,1.5,141939
458,97,1,94626
458,99,7.5,709695
458,101,1,94626
458,104,9,851634
458,106,3,283878
458,107,2.5,236565
458,108,3,283878
458,110,9,851634
458,112,1.5,141939
458,121,4,378504
458,122,2,189252
458,123,2,189252
458,124,2,189252
458,128,7.5,709695
458,130,1,94626
458,131,5,473130
458,134,na,1000
459,1,na,0
459,2,1,46722
459,3,1,74398
459,6,2,61362
459,7,6,184086
459,24,1,118667
459,27,4,156036
459,28,1,62752
459,31,na,46000
459,36,1,118667
459,42,2,100020
459,44,1,57444
459,45,na,2000
459,46,na,8000
459,47,1,35715
459,48,1,44876
459,54,na,33133
459,55,na,35600
459,56,na,66644
459,57,na,1000
459,59,na,4000
459,61,1,98411
459,62,1,98411
459,63,na,100
459,64,2,189252
459,74,na,6000
459,75,na,1000
459,76,1,147768
459,77,na,3000
459,79,na,43200
459,80,1,94626
459,82,4,378504
459,86,1,63519
459,89,1,94626
459,96,1,94626
459,97,2,189252
459,98,2,189252
459,100,3,283878
459,104,3,283878
459,105,5,473130
459,106,1,94626
459,107,7,662382
459,110,4,378504
459,112,1,94626
459,118,1,94626
459,123,4,378504
459,128,3,283878
459,131,1,94626
462,1,na,10000
462,2,1,46722
462,3,2,148796
462,4,na,4000
462,13,1,30681
462,24,1,118667
462,27,1,39009
462,28,1,62752
462,31,na,6000
462,33,1,43567
462,38,1,90918
462,42,1,50010
462,45,na,22000
462,46,na,6000
462,48,1,44876
462,52,na,4000
462,53,na,3500
462,54,na,3000
462,55,na,6000
462,59,na,10000
462,62,1,98411
462,64,1,94626
462,70,na,16000
462,74,na,25000
462,76,1,147768
462,77,na,6175
462,78,na,7000
462,79,na,48500
462,82,2,189252
462,88,2,157502
462,104,2,189252
462,107,3,283878
462,110,2,189252
462,118,1,94626
462,121,1,94626
462,128,1,94626
462,131,1,94626
462,133,na,7000
462,134,na,1000
462,136,na,343532.16
462,137,1,36042
463,1,na,20000
463,2,12,560664
463,3,6,446388
463,15,1,30681
463,18,2,61362
463,19,2,61362
463,21,1,30681
463,24,6,712002
463,28,1,62752
463,31,na,105300
463,33,1,43567
463,34,2,92062
463,37,0.5,21783.5
463,38,2,181836
463,42,4,200040
463,44,2,114888
463,45,na,10000
463,46,na,30000
463,47,7,250005
463,48,4,179504
463,54,na,50000
463,55,na,27452
463,56,na,72828
463,59,na,81493
463,61,1,98411
463,62,5,492055
463,64,1,94626
463,67,1,94626
463,74,na,30000
463,75,na,10000
463,76,1,147768
