school,lineitem,fte,budget
231,9,4,122724
231,13,1,30681
231,26,1,118667
231,28,0.5,31376
231,31,na,28974
231,40,0.5,45459
231,44,1,57444
231,45,na,4500
231,46,na,5000
231,47,1,35715
231,48,1,44876
231,54,na,8804
231,55,na,12300
231,63,na,400
231,64,1,94626
231,71,na,100000
231,74,na,4000
231,76,1,147768
231,78,na,1800
231,79,na,16900
231,80,0.5,47313
231,82,0.5,47313
231,84,1,94626
231,90,2,189252
231,91,1,94626
231,92,1,94626
231,93,1,94626
231,94,1,94626
231,96,0.5,47313
231,106,1,94626
231,107,2,189252
231,109,2,189252
231,112,1,94626
231,115,1,94626
231,116,1,94626
231,117,1,94626
231,131,0.5,47313
232,1,na,2500
232,9,6,184086
232,24,1,118667
232,28,1,62752
232,44,1,57444
232,45,na,10000
232,46,na,10000
232,47,1,35715
232,48,1,44876
232,54,na,20500
232,55,na,35000
232,64,1,94626
232,67,1,94626
232,74,na,408
232,76,1,147768
232,78,na,12000
232,79,na,47700
232,80,0.5,47313
232,81,1,39448
232,82,1,94626
232,90,4,378504
232,91,3,283878
232,92,3,283878
232,93,4,378504
232,94,3,283878
232,105,2,189252
232,106,1,94626
232,107,4,378504
232,109,3,283878
232,112,2,189252
232,115,2,189252
232,119,2.5,236565
232,131,1,94626
238,1,na,3000
238,2,1,46722
238,7,2,61362
238,9,5,153405
238,10,2,61362
238,44,1,57444
238,45,na,0
238,46,na,2000
238,47,1,35715
238,48,1,44876
238,54,na,3577
238,63,na,500
238,64,2,189252
238,67,0.5,47313
238,70,na,1500
238,71,na,100000
238,74,na,500
238,76,1,147768
238,78,na,1000
238,79,na,27600
238,80,0.5,47313
238,82,1,94626
238,83,1,94626
238,90,2,189252
238,91,2,189252
238,92,2,189252
238,93,2,189252
238,94,1,94626
238,96,1,94626
238,100,1,94626
238,102,1,94626
238,106,1,94626
238,107,3,283878
238,109,2,189252
238,112,0.5,47313
238,115,1,94626
238,116,1,94626
238,117,1,94626
238,131,0.5,47313
238,133,na,500
238,134,na,500
239,1,na,14000
239,2,2,93444
239,5,na,50535.47
239,7,4,122724
239,9,7,214767
239,10,2,61362
239,11,1,30681
239,13,1,30681
239,21,1,30681
239,44,1,57444
239,45,na,8000
239,46,na,8000
239,47,1,35715
239,48,1,44876
239,52,na,4500
239,53,na,4500
239,54,na,18189
239,55,na,100000
239,58,na,500
239,59,na,3000
239,63,na,500
239,64,1,94626
239,67,0.5,47313
239,74,na,4000
239,76,1,147768
239,78,na,73064
239,79,na,28900
239,80,1,94626
239,82,1,94626
239,90,2,189252
239,91,1,94626
239,92,2,189252
239,93,2,189252
239,94,1,94626
239,96,0.5,47313
239,100,2,189252
239,102,1,94626
239,103,1,94626
239,105,1.5,141939
239,106,1,94626
239,107,3,283878
239,109,2,189252
239,112,1,94626
239,117,4,378504
239,129,1,94626
239,130,1.5,141939
239,131,1,94626
246,1,na,0
246,2,1,46722
246,3,1,74398
246,7,2,61362
246,15,1,30681
246,19,1,30681
246,24,2,237334
246,28,1,62752
246,31,na,2000
246,40,1,90918
246,42,1,50010
246,44,1,57444
246,45,na,0
246,46,na,20000
246,47,1,35715
246,48,1,44876
246,52,na,10000
246,54,na,60000
246,55,na,47313
246,58,na,2000
246,59,na,24176
246,60,1,94626
246,67,1,94626
246,71,na,100000
246,72,na,5000
246,73,na,28000
246,76,1,147768
246,78,na,2000
246,79,na,40000
246,80,1,94626
246,82,1,94626
246,96,1.5,141939
246,100,1,94626
246,101,1,94626
246,104,4,378504
246,105,1,94626
246,106,2,189252
246,107,3,283878
246,108,1,94626
246,110,4,378504
246,112,1.5,141939
246,120,2,189252
246,123,3,283878
246,126,1,94626
246,128,3,283878
246,131,1.5,141939
247,1,na,4450
247,2,1,46722
247,6,2,61362
247,9,5,153405
247,11,2,61362
247,24,1,118667
247,27,2,78018
247,28,1,62752
247,31,na,25000
247,44,1,57444
247,45,na,6500
247,46,na,12949
247,47,2,71430
247,48,1,44876
247,52,na,3506.5
247,54,na,19300
247,55,na,19000
247,63,na,1500
247,64,1,94626
247,66,na,8516.34
247,67,0.5,47313
247,70,na,5500
247,71,na,100000
247,74,na,5000
247,76,1,147768
247,78,na,13200
247,79,na,27900
247,80,0.5,47313
247,82,2,189252
247,90,2,189252
247,91,2,189252
247,92,2,189252
247,93,1,94626
247,94,2,189252
247,96,1,94626
247,97,2,189252
247,103,2,189252
247,106,1,94626
247,107,3,283878
247,109,2,189252
247,112,1,94626
247,115,2,189252
247,116,1,94626
247,118,0.75,70969.5
247,130,0.25,23656.5
247,131,1,94626
247,134,na,5797
249,1,na,26371
249,5,na,137131.01
249,9,8,245448
249,13,3,92043
249,24,1,118667
249,27,1,39009
249,28,1,62752
249,29,2,73038
249,31,na,34712
249,34,1,46031
249,37,1,43567
249,42,1,50010
249,44,1,57444
249,45,na,20000
249,46,na,15000
249,48,3,134628
249,49,1,89373
249,52,na,1000
249,54,na,33431
249,55,na,24212
249,57,na,5000
249,58,na,10000
249,63,na,4000
249,64,1,94626
249,67,1,94626
249,68,na,5000
249,70,na,6500
249,74,na,5000
249,76,1,147768
249,78,na,18025
249,79,na,53300
249,80,1,94626
249,82,2,189252
249,87,na,3753
249,90,3,283878
249,91,3,283878
249,92,3,283878
249,93,3,283878
249,94,3,283878
249,96,1,94626
249,106,2,189252
249,107,5,473130
249,109,4,378504
249,112,1,94626
249,115,2,189252
249,116,2,189252
249,131,1,94626
249,132,1,94626
249,134,na,5000
249,136,na,55245
251,1,na,28113
251,2,1,46722
251,5,na,50535.47
251,7,2,61362
251,9,5,153405
251,10,2,61362
251,11,2,61362
251,32,1,90918
251,44,1,57444
251,45,na,5000
251,46,na,5000
251,48,2,89752
251,52,na,1500
251,54,na,18500
251,59,na,7000
251,63,na,700
251,64,1,94626
251,66,na,8516.34
251,67,0.5,47313
251,70,na,3500
251,74,na,1500
251,76,1,147768
251,79,na,28200
251,80,1,94626
251,81,1,39448
251,82,1,94626
251,90,2,189252
251,91,2,189252
251,92,2,189252
251,93,1,94626
251,94,2,189252
251,96,1,94626
251,100,1,94626
251,102,1,94626
251,103,2,189252
251,106,1,94626
251,107,3,283878
251,109,2,189252
251,112,0.5,47313
251,115,1,94626
251,116,1,94626
251,117,1,94626
251,119,1,94626
251,131,0.5,47313
251,133,na,1000
251,134,na,1500
252,1,na,4000
252,2,1,46722
252,9,3,92043
252,11,1,30681
252,13,3,92043
252,24,1,118667
252,29,1,36519
252,31,na,5783
252,44,1,57444
252,45,na,11000
252,46,na,10000
252,48,2,89752
252,54,na,5000
252,64,1,94626
252,67,1,94626
