SCHOOLCODE,SCHOOLNAME,LON,LAT,LEVELTEXT,LEVEL,CLUSTER,WARD,FORTYFORTY,YEAR,ATRISKPCT,,ATRISKENROLLMENT,ECEENROLLMENT,ELLENROLLMENT,SPEDENROLLMENT,TOTALENROLLMENT,AMT_ENROLLMENT,AMT_SPED,AMT_ELL,AMT_ASPECR,AMT_TITLE,AMT_SPECIALTY,AMT_PPFM,AMT_STABILIZATION,AMT_SECURITY,AMT_ATRISK_ENROLLMENT,AMT_ATRISK_SPED,AMT_ATRISK_ELL,AMT_ATRISK_SPECIALTY,AMT_ATRISK_ASPECR,AMT_ATRISK_STABILIZATION,AMT_ATRISK_FLEX,AMT_ATRISK,AMT_TOTAL
316,Randle Highlands ES,-76.96435628,38.8700914,Elementary,es,2,7,FALSE,2015,0.65,0.65,212,83,2,49,328,3126362.605,520443.6875,8516.35125,77704.46125,145209.6327,0,0,0,0,32800,0,0,0,0,72700.94956,0,105500.9496,3983737.688
302,Raymond EC,-77.02643266,38.93581087,Education Campus,campus,6,4,FALSE,2015,0.45,0.45,252,105,232,88,553,4180532.315,662383,1118881.858,77704.46125,235369.6435,0,0,0,0,751056,94626,0,0,0,0,0,845682,7120553.277
459,Roosevelt HS,-77.02777634,38.94360818,High,hs,9,4,TRUE,2015,0.7,0.7,301,0,107,113,432,3215113.087,1792373.495,567756.75,-10000,189856.1765,0,0,0,0,109844,139740,0,0,66644,0,0,316228,6071327.508
456,Roosevelt STAY,-77.02777634,38.94360818,STAY,other,9,4,FALSE,2015,NA,NA,NA,0,39,38,655,2753080.438,331191.4375,94626.125,0,15675,0,0,0,0,254752,0,0,0,0,0,0,254752,3449325.001
305,Ross ES,-77.03966215,38.91239081,Elementary,es,4,2,FALSE,2015,0.07,0.07,13,35,34,8,168,1793615.412,160864.4125,141939.1875,0,4025,0,0,0,0,111426,0,0,0,0,0,0,111426,2211870.012
307,Savoy ES,-76.99360426,38.86285165,Elementary,es,1,8,TRUE,2015,0.73,0.73,306,70,6,40,419,3596579.001,473130.625,21764.00875,63926.876,176852.3288,0,0,0,0,141900,0,0,0,0,0,0,141900,4474152.839
175,School-Within-School,-76.99318302,38.89756466,Elementary,es,1,6,FALSE,2015,0.08,0.08,19,72,0,34,243,2197472.895,737795.4925,0,0,5125,0,0,0,0,24300,0,0,0,0,0,0,24300,2964693.388
466,School Without Walls HS,-77.04818647,38.89812379,High,hs,9,2,FALSE,2015,0.09,0.09,50,0,0,5,585,3133444.119,274271.6213,0,0,14625,495436,769340.2598,0,0,739343,0,0,0,0,0,0,739343,5426460
409,School Without Walls @ Francis-Stevens EC,-77.052321,38.90746917,Education Campus,campus,9,2,FALSE,2015,NA,NA,NA,64,25,42,324,2837265.344,1254378.146,94626.125,50149.29075,76179.73767,0,0,0,0,,,0,,,,0,0,4312598.644
309,Seaton ES,-77.02488247,38.91061836,Elementary,es,4,6,FALSE,2015,0.51,0.51,143,97,126,37,278,2551322.261,626537.85,567756.75,63926.876,109665.7823,0,0,0,0,146467,94626,0,0,0,0,0,241093,4160302.519
313,Shepherd ES,-77.03399523,38.98460295,Elementary,es,1,4,FALSE,2015,0.15,0.15,49,54,5,27,321,3008218.787,283878.375,21764.00875,0,7600,0,0,0,0,32100,0,0,0,0,0,0,32100,3353561.171
315,Simon ES,-77.000195,38.8359802,Elementary,es,4,8,TRUE,2015,0.76,0.76,236,51,2,46,310,2716069.259,425817.5625,8516.35125,0,128304.6307,47313,0,0,0,131000,0,0,0,0,0,0,131000,3457020.803
